article_index,article_title,article_url,resource_type,resource_value,host,source,context
1,争分夺秒！宝医心血管外科团队连续打赢4场“生命保卫战”,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483735&idx=1&sn=14eb9df93973de9646bf83150993f4c0&chksm=c262f5e7f5157cf1ed28d418895fc131de914417fa57ae36e4521d3098ce4927465fa7756650#rd,image,https://mmbiz.qpic.cn/mmbiz_png/IltQSqBF9TLY0jycl5pduZYtibwtHWSmL0g1jRpO9BH31tZoNnatkmiaamgpYcF7Otcelqd91zkzrL1jJJdQTnzw/640?wx_fmt=png,mmbiz.qpic.cn,html_data-src,
2,多学科协作攻克难题：冠心病合并骨折患者在我院成功获治,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483727&idx=1&sn=3b767dc1794de75f6a3cbb02a101886a&chksm=c262f5fff5157ce99f7892fd8d4ac2b24abb089350b4258690700cd98b8e20c52840ea60e706#rd,image,https://mmbiz.qpic.cn/mmbiz_jpg/IltQSqBF9TJZZUc7vRbibjooc1U62NNRJ0kqRSojCicM9dpLFnKn54knckMY7DcmcTAMKePXmV3kfstCMOeiaggdg/640?wx_fmt=jpeg,mmbiz.qpic.cn,html_data-src,
2,多学科协作攻克难题：冠心病合并骨折患者在我院成功获治,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483727&idx=1&sn=3b767dc1794de75f6a3cbb02a101886a&chksm=c262f5fff5157ce99f7892fd8d4ac2b24abb089350b4258690700cd98b8e20c52840ea60e706#rd,image,https://mmbiz.qpic.cn/mmbiz_jpg/IltQSqBF9TJZZUc7vRbibjooc1U62NNRJjwVVvukWaKNjiaAP6D4EibEb8DJdicia2CHkxG2fTDLDxM1IFt6xFxwpSg/640?wx_fmt=jpeg,mmbiz.qpic.cn,html_data-src,
2,多学科协作攻克难题：冠心病合并骨折患者在我院成功获治,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483727&idx=1&sn=3b767dc1794de75f6a3cbb02a101886a&chksm=c262f5fff5157ce99f7892fd8d4ac2b24abb089350b4258690700cd98b8e20c52840ea60e706#rd,image,https://mmbiz.qpic.cn/mmbiz_jpg/IltQSqBF9TJZZUc7vRbibjooc1U62NNRJPOIfSTp431TpngicBWicosiaDp1Y78kao8AzQaGZuoxDXSGvViaM2JYVfA/640?wx_fmt=jpeg,mmbiz.qpic.cn,html_data-src,
2,多学科协作攻克难题：冠心病合并骨折患者在我院成功获治,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483727&idx=1&sn=3b767dc1794de75f6a3cbb02a101886a&chksm=c262f5fff5157ce99f7892fd8d4ac2b24abb089350b4258690700cd98b8e20c52840ea60e706#rd,image,https://mmbiz.qpic.cn/mmbiz_png/IltQSqBF9TJZZUc7vRbibjooc1U62NNRJvC2sq06PwJfKIqT7rLjaIn2aYzbAWfq8KBxIibtI1OAjwX3ZMeicEiaZQ/640?wx_fmt=png,mmbiz.qpic.cn,html_data-src,
2,多学科协作攻克难题：冠心病合并骨折患者在我院成功获治,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483727&idx=1&sn=3b767dc1794de75f6a3cbb02a101886a&chksm=c262f5fff5157ce99f7892fd8d4ac2b24abb089350b4258690700cd98b8e20c52840ea60e706#rd,image,https://mmbiz.qpic.cn/mmbiz_jpg/IltQSqBF9TJZZUc7vRbibjooc1U62NNRJItBCySfp8D3TXErxoN7Gmr4HibicyibqkwBZNa0QAjOnK3FYoBAQeBxmw/640?wx_fmt=jpeg,mmbiz.qpic.cn,html_data-src,
3,宝医HEART系列访谈---冠脉搭桥（一：冠脉搭桥的历史）,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483672&idx=1&sn=3bf6b83f8a1fbec171177d543e1a2252&chksm=c262f5a8f5157cbece092b736103161e787c4adb5f07f47aa3b99365972149d697801fbdf7fa#rd,external_url,https://__bridge_loaded__,__bridge_loaded__,html_text,
3,宝医HEART系列访谈---冠脉搭桥（一：冠脉搭桥的历史）,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483672&idx=1&sn=3bf6b83f8a1fbec171177d543e1a2252&chksm=c262f5a8f5157cbece092b736103161e787c4adb5f07f47aa3b99365972149d697801fbdf7fa#rd,wechat_link,https://mp.weixin.qq.com/,mp.weixin.qq.com,html_text,
3,宝医HEART系列访谈---冠脉搭桥（一：冠脉搭桥的历史）,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483672&idx=1&sn=3bf6b83f8a1fbec171177d543e1a2252&chksm=c262f5a8f5157cbece092b736103161e787c4adb5f07f47aa3b99365972149d697801fbdf7fa#rd,wechat_link,https://mp.weixin.qq.com/mp/wapcommreport?action=batch_report,mp.weixin.qq.com,html_text,
3,宝医HEART系列访谈---冠脉搭桥（一：冠脉搭桥的历史）,https://mp.weixin.qq.com/s?__biz=MzkzMTkxNTIzMQ%3D%3D&mid=2247483672&idx=1&sn=3bf6b83f8a1fbec171177d543e1a2252&chksm=c262f5a8f5157cbece092b736103161e787c4adb5f07f47aa3b99365972149d697801fbdf7fa#rd,wechat_link,https://mp.weixin.qq.com/mp/wapcommreport,mp.weixin.qq.com,html_text,
